name,estimated_number
Casey,176544.328149
Riley,154860.66517300002
Jessie,136381.830656
Jackie,132928.78874000002
Avery,121797.41951600001
Jaime,109870.18729000002
Peyton,94896.39521599999
Kerry,88963.92625
Jody,80400.519199
Kendall,79210.873961
Payton,64151.630388
Skyler,53486.390419
Frankie,51288.068109
Pat,44781.602373
Quinn,41920.940058
Harley,41237.565743
Reese,36360.520613
Robbie,32636.047648000003
Tommie,29528.793818000002
Justice,27350.56457
Kris,24955.811341999997
Carey,24790.097053999998
Emerson,24167.154361
Blair,23160.101097
Amari,22296.161372
Elisha,22184.559374
Sage,21336.062278
Emery,18844.118877
Stevie,18665.219122
Rowan,18367.420464
Ollie,17889.750339
Shea,16768.891880000003
Jaylin,15093.192038999998
Phoenix,14841.367875999998
Charley,12546.265781999999
Armani,12541.667755
Devyn,12515.023073999999
Ivory,11908.580714
Kendal,11841.403479999999
Baby,11132.855753
Mckinley,10972.533414
Finley,10194.618867000001
Milan,9971.955937
Tory,9837.844335
Shay,9444.894035
Shiloh,8999.08523
Lavern,8776.346296
Sky,8386.640072
Reilly,8300.824693
Leighton,8281.601797
Santana,7922.713789
Arden,7773.147359999999
Campbell,7728.956865000001
Channing,7626.335577
Kamari,7584.893909
Alva,7496.35069
Clair,7148.894728
Lavon,7107.834786
Kenyatta,7063.611274
Britt,6852.95455
Vernell,6729.462903000001
Michal,6558.698679
Austyn,6228.961464999999
Rian,6139.851240999999
Dominque,6101.13501
Remy,6094.667878
Jammie,6013.444775
Ricki,5847.272146
Jordin,5770.788278
Trinidad,5747.944235
Ryley,5685.538724
Carrol,5513.606968
Landry,5449.51046
Lorin,5428.15538
Yael,5232.374916
Codi,4805.328209
Sloan,4796.882097
Jael,4472.71492
Kodi,4428.704313
Azariah,4420.560847
Dakotah,4388.8520229999995
Lorenza,4249.273719
Artie,4230.139897
Maxie,4123.46784
Torey,4058.5889740000002
Tai,4017.9162969999998
Kalani,4012.3161229999996
Codie,3998.8169869999997
Storm,3960.5374460000003
Jaedyn,3913.0768840000005
Merritt,3843.5606700000003
Allyn,3801.3328060000003
Jourdan,3781.556602
Yuri,3774.699243
Ellery,3738.814883
Oakley,3728.7983289999997
Gentry,3703.829157
Ellison,3651.546836
Arin,3634.974321
Sol,3624.9805439999996
Carrington,3616.3836
Dell,3615.0332759999997
Carlin,3554.951422
Lennie,3533.447279
Dru,3445.961147
Alpha,3406.676728
Kiran,3405.6976219999997
Tristyn,3336.366181
Camdyn,3274.913501
Krishna,3270.049176
Demetrice,3200.883393
Berkley,3184.6592739999996
Linden,3155.870202
Mikah,3094.0632379999997
Parris,3064.315071
Kalin,3021.240034
Kary,3020.9687059999997
Arie,3014.1230010000004
Aries,2964.7565329999998
Rio,2960.4438010000003
Sutton,2930.892868
Rhyan,2900.188369
Isa,2895.497837
Arlyn,2893.945006
Karsen,2872.427405
Seneca,2856.367471
Callan,2809.37665
Garnett,2797.598866
Micaiah,2749.93498
Christan,2684.978836
Aris,2549.033763
Tylar,2540.224111
Brighton,2534.958718
Merlyn,2500.628691
Kimani,2492.6957780000002
Salem,2484.362235
Barrie,2480.799063
Braylin,2476.689792
Charly,2473.36083
Ocean,2470.958543
Ara,2398.501272
Deane,2395.830649
Andree,2375.252032
Natividad,2343.4819039999998
Ardell,2327.065702
Divine,2322.744419
Ocie,2299.2449699999997
Lakota,2298.545252
Ashtin,2291.99335
Larkin,2267.588897
Kamdyn,2266.0110670000004
Waverly,2239.462468
Claudie,2203.6044690000003
Lannie,2182.972994
Vernie,2155.660129
Adair,2154.719944
Kaidyn,2139.577902
Verdell,2133.742154
Jae,2106.066765
Aven,2090.0594969999997
Kodie,2069.6383920000003
Shalom,2060.5958739999996
Daylin,2036.196151
Osiris,1997.239288
Dwan,1990.6460379999999
Lashaun,1977.848391
Ashten,1969.6975940000002
Dann,1959.4458739999998
Shai,1950.9917050000001
Teegan,1945.936273
Micha,1927.9759010000002
Tobie,1921.1876350000002
Jaelin,1910.944988
Marlowe,1893.8144550000002
Kareen,1865.710053
Ryen,1827.6550739999998
Marquette,1795.238032
Joell,1787.3188850000001
Adel,1776.564727
Golden,1763.136515
An,1746.029349
Ossie,1740.230779
Stephane,1724.789877
Vinnie,1711.276531
Armoni,1707.359443
Berlin,1675.592169
Thanh,1671.332281
Jimi,1666.012608
Linn,1654.7473220000002
Marvis,1653.1578
Tam,1647.93815
Kaylon,1644.939332
Kylin,1642.510785
Lajuan,1642.21941
Cameran,1611.747981
Shamari,1601.241909
Teddie,1595.122202
Laramie,1594.6312050000001
Ricci,1585.3125699999998
Jule,1555.296916
Cedar,1552.70581
Drue,1547.492989
Shade,1544.8814300000001
Jeryl,1538.032514
Taylen,1535.983379
Devonne,1534.988374
Delane,1525.850038
Arnell,1518.343435
Earlie,1510.680394
Tenzin,1464.873785
Kendel,1464.373914
Arlis,1462.0830939999998
Ashby,1459.2234050000002
Shia,1450.051376
Berkeley,1447.964706
Lin,1434.757899
Freedom,1419.5886619999999
Rylin,1405.565656
Aaryn,1391.6754779999999
Mykah,1378.630611
Shaya,1373.0472439999999
Tanis,1363.088001
Chancey,1357.860017
Jaidan,1353.840217
Jaydyn,1344.5675099999999
Kaedyn,1342.7232900000001
Talyn,1333.103591
Le,1323.979515
Hartley,1321.569286
Avon,1318.747786
Finnley,1313.456526
Schyler,1311.4051470000002
Rennie,1307.9576880000002
Aly,1298.699031
Kaydin,1293.967349
Camari,1292.5736140000001
Clemmie,1288.247856
Payson,1280.568167
Anay,1278.8241990000001
Devine,1270.283725
Terryl,1263.728601
Bao,1262.070243
Tru,1259.054676
Indiana,1241.572392
